dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
bigcodebench,agentic,BigCodeBench/148,200,,0,,,,,empty,228,0,7,0,6,0,1,0,46,,1,,0,,0,,2,,0,,1,,0,,1,,,,-7,-6,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/149,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,509,1103,14,28,13,23,1,1,100,80,2,1,2,1,0,1,6,5,0,1,1,1,1,1,3,3,0.4709113305846996,0.8493201524423646,14,10,-20,-1,1,-1,0,0,2.0,0.8,1.0
bigcodebench,agentic,BigCodeBench/153,200,,0,,,,,empty,225,0,8,0,7,0,1,0,42,,1,,0,,0,,3,,0,,1,,0,,1,,,,-8,-7,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/157,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,362,1439,11,43,10,37,1,1,86,117,1,1,1,3,0,0,6,9,0,0,1,1,1,1,3,4,0.7599313834999564,0.9556378710821174,32,27,31,2,0,3,0,1,3.909090909090909,1.3604651162790697,1.3333333333333333
bigcodebench,agentic,BigCodeBench/160,200,,0,,,,,empty,505,0,16,0,15,0,1,0,122,,1,,2,,0,,6,,0,,1,,1,,3,,,,-16,-15,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/164,200,,0,,,,,empty,412,0,11,0,10,0,1,0,108,,1,,0,,1,,6,,1,,1,,1,,2,,,,-11,-10,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/17,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,558,1423,16,44,15,39,1,1,104,110,1,1,2,3,2,1,9,5,1,0,2,2,3,3,5,5,0.6966908577414406,0.91786186650872,28,24,6,1,-1,-4,0,0,2.75,1.0576923076923077,1.0
bigcodebench,agentic,BigCodeBench/171,200,,0,,,,,empty,576,0,12,0,11,0,1,0,121,,1,,0,,2,,7,,2,,1,,1,,3,,,,-12,-11,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/193,200,,0,,,,,empty,1263,0,23,0,22,0,1,0,392,,1,,6,,7,,40,,6,,1,,8,,14,,,,-23,-22,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/200,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,TimeoutError,,,470,1406,17,46,16,41,1,1,120,152,1,1,1,1,2,2,8,13,2,2,2,1,1,1,4,4,0.7088049644167165,0.9098791405000929,29,25,32,0,0,5,0,0,2.7058823529411766,1.2666666666666666,1.0
bigcodebench,agentic,BigCodeBench/211,200,,0,,,,,empty,582,0,16,0,15,0,1,0,117,,1,,1,,0,,8,,0,,1,,1,,2,,,,-16,-15,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/212,200,,0,,,,,empty,497,0,17,0,16,0,1,0,127,,1,,0,,0,,10,,0,,1,,0,,1,,,,-17,-16,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/213,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,566,1313,21,43,20,38,1,1,124,142,1,1,1,0,1,1,12,14,0,0,1,1,2,1,3,2,0.7334965857993547,0.9697226566936947,22,18,18,-1,0,2,-1,-1,2.0476190476190474,1.1451612903225807,0.6666666666666666
bigcodebench,agentic,BigCodeBench/22,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,288,1398,9,42,8,37,1,1,63,86,1,1,0,2,2,1,3,5,1,0,1,1,1,2,3,4,0.5430471634485259,0.8623619869279867,33,29,23,2,-1,2,1,1,4.666666666666667,1.3650793650793651,1.3333333333333333
bigcodebench,agentic,BigCodeBench/226,200,,0,,,,,empty,477,0,15,0,14,0,1,0,130,,1,,0,,3,,8,,2,,1,,1,,4,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/231,200,,0,,,,,empty,821,0,30,0,27,0,1,0,213,,2,,1,,1,,13,,1,,1,,2,,3,,,,-30,-27,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/256,200,,0,,,,,empty,746,0,17,0,16,0,1,0,130,,1,,2,,1,,13,,1,,1,,1,,4,,,,-17,-16,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/261,200,,0,,,,,empty,393,0,12,0,11,0,1,0,87,,1,,2,,0,,7,,0,,1,,1,,3,,,,-12,-11,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/262,200,,0,,,,,empty,429,0,12,0,11,0,1,0,88,,1,,0,,0,,10,,0,,1,,0,,1,,,,-12,-11,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/263,200,,0,,,,,empty,541,0,15,0,14,0,1,0,132,,1,,1,,2,,8,,0,,1,,3,,5,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/266,200,,0,,,,,empty,608,0,18,0,17,0,1,0,147,,1,,0,,3,,11,,0,,1,,2,,4,,,,-18,-17,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/280,200,,0,,,,,empty,524,0,15,0,14,0,1,0,121,,1,,0,,0,,11,,0,,1,,0,,1,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/282,200,,0,,,,,empty,564,0,18,0,17,0,1,0,137,,1,,1,,1,,10,,0,,1,,1,,3,,,,-18,-17,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/286,200,,0,,,,,empty,801,0,24,0,23,0,1,0,152,,1,,2,,2,,14,,0,,1,,3,,5,,,,-24,-23,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/287,200,,0,,,,,empty,566,0,18,0,17,0,1,0,120,,1,,1,,2,,11,,0,,1,,2,,4,,,,-18,-17,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/297,200,,0,,,,,empty,244,0,7,0,6,0,1,0,46,,1,,0,,1,,4,,1,,1,,1,,2,,,,-7,-6,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/300,200,,0,,,,,empty,475,0,15,0,14,0,1,0,141,,1,,0,,0,,11,,0,,1,,0,,1,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/301,200,,0,,,,,empty,631,0,15,0,14,0,1,0,133,,1,,0,,0,,10,,0,,1,,0,,1,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/304,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,670,1494,18,37,17,31,1,1,151,38,1,1,1,1,0,0,12,2,0,0,2,1,1,1,2,2,0.5528807572049119,0.84908352987184,19,14,-113,0,0,-10,0,0,2.0555555555555554,0.25165562913907286,1.0
bigcodebench,agentic,BigCodeBench/31,200,,0,,,,,empty,487,0,15,0,14,0,1,0,124,,1,,1,,2,,11,,2,,2,,2,,6,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/320,200,,0,,,,,empty,362,0,15,0,14,0,1,0,69,,1,,2,,0,,4,,0,,3,,1,,3,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/322,200,,0,,,,,empty,673,0,21,0,20,0,1,0,118,,1,,2,,0,,7,,0,,3,,1,,3,,,,-21,-20,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/328,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,688,1290,21,41,20,34,1,1,161,110,1,1,0,0,3,2,14,7,0,0,1,1,1,1,4,3,0.6479430297720392,0.8717595328911494,20,14,-51,0,-1,-7,0,-1,1.9523809523809523,0.6832298136645962,0.75
bigcodebench,agentic,BigCodeBench/33,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,248,1022,8,29,7,24,1,1,49,66,1,2,0,1,1,1,2,3,1,1,1,2,1,1,2,3,0.57077647881466,0.896717661308488,21,17,17,1,0,1,0,1,3.625,1.346938775510204,1.5
bigcodebench,agentic,BigCodeBench/335,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,533,1376,16,40,15,35,1,1,139,147,1,1,0,0,3,4,11,10,1,1,1,1,1,1,4,5,0.6843504771894621,0.9459284380199453,24,20,8,0,1,-1,0,1,2.5,1.0575539568345325,1.25
bigcodebench,agentic,BigCodeBench/337,200,,0,,,,,empty,657,0,17,0,16,0,1,0,188,,1,,0,,1,,16,,0,,1,,1,,2,,,,-17,-16,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/34,200,,0,,,,,empty,402,0,13,0,12,0,1,0,75,,1,,1,,0,,8,,0,,1,,1,,2,,,,-13,-12,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/344,200,,0,,,,,empty,466,0,14,0,13,0,1,0,87,,1,,2,,0,,7,,0,,2,,1,,3,,,,-14,-13,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/348,200,,0,,,,,empty,362,0,14,0,13,0,1,0,87,,1,,1,,1,,7,,0,,1,,1,,3,,,,-14,-13,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/355,200,,0,,,,,empty,574,0,17,0,16,0,1,0,148,,1,,0,,0,,11,,0,,1,,0,,1,,,,-17,-16,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/360,200,,0,,,,,empty,754,0,23,0,22,0,1,0,166,,1,,2,,1,,11,,0,,1,,1,,4,,,,-23,-22,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/361,200,,0,,,,,empty,856,0,18,0,17,0,1,0,125,,1,,1,,0,,11,,0,,1,,1,,2,,,,-18,-17,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/363,200,,0,,,,,empty,452,0,12,0,10,0,1,0,95,,2,,1,,2,,7,,2,,2,,2,,5,,,,-12,-10,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/364,200,,0,,,,,empty,530,0,15,0,14,0,1,0,110,,1,,1,,1,,7,,1,,1,,1,,3,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/365,200,,0,,,,,empty,477,0,15,0,14,0,1,0,108,,1,,1,,0,,8,,0,,1,,1,,3,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/37,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,SyntaxError,,"SyntaxError: unterminated triple-quoted string literal (detected at line 25) (<unknown>, line 3)",628,897,16,25,15,20,1,0,126,,1,,0,,0,,10,,0,,1,,0,,1,,0.5265903454424326,0.7497583611486327,9,5,,,,,,,1.5625,,
bigcodebench,agentic,BigCodeBench/375,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,433,1187,13,40,12,34,1,1,94,86,1,1,0,0,0,0,8,7,0,0,1,1,0,0,1,1,0.6186226346403054,0.9097059340982099,27,22,-8,0,0,-1,0,0,3.076923076923077,0.9148936170212766,1.0
bigcodebench,agentic,BigCodeBench/379,200,,0,,,,,empty,253,0,8,0,7,0,1,0,56,,1,,0,,0,,3,,0,,1,,0,,1,,,,-8,-7,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/381,200,,0,,,,,empty,870,0,22,0,21,0,1,0,168,,1,,2,,0,,11,,0,,1,,1,,3,,,,-22,-21,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/384,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,SyntaxError,,"SyntaxError: unterminated triple-quoted string literal (detected at line 9) (<unknown>, line 3)",710,332,15,9,14,8,1,0,162,,1,,2,,3,,10,,2,,1,,2,,8,,0.4631065838304932,0.5156754378962417,-6,-6,,,,,,,0.6,,
bigcodebench,agentic,BigCodeBench/390,200,,0,,,,,empty,458,0,13,0,12,0,1,0,82,,1,,1,,0,,6,,0,,1,,1,,3,,,,-13,-12,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/396,200,,0,,,,,empty,482,0,15,0,14,0,1,0,111,,1,,1,,0,,10,,0,,1,,1,,2,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/398,200,,0,,,,,empty,341,0,12,0,11,0,1,0,76,,1,,2,,1,,6,,1,,3,,1,,5,,,,-12,-11,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/4,200,,0,,,,,empty,163,0,6,0,5,0,1,0,32,,1,,0,,0,,4,,0,,1,,0,,1,,,,-6,-5,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/400,200,,0,,,,,empty,446,0,15,0,14,0,1,0,84,,1,,2,,1,,5,,0,,1,,3,,4,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/402,200,,0,,,,,empty,437,0,15,0,14,0,1,0,100,,1,,0,,1,,8,,1,,1,,1,,2,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/403,200,,0,,,,,empty,462,0,13,0,12,0,1,0,106,,1,,1,,0,,10,,0,,1,,1,,2,,,,-13,-12,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/411,200,,0,,,,,empty,329,0,10,0,9,0,1,0,71,,1,,0,,0,,5,,0,,1,,0,,1,,,,-10,-9,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/414,200,,0,,,,,empty,310,0,11,0,10,0,1,0,90,,1,,2,,0,,5,,0,,2,,1,,4,,,,-11,-10,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/428,200,,0,,,,,empty,677,0,16,0,15,0,1,0,121,,1,,3,,0,,7,,0,,1,,1,,5,,,,-16,-15,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/458,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,984,2478,28,67,27,61,1,1,257,230,1,1,8,8,4,2,19,13,2,1,2,4,5,5,14,12,0.5370496569021521,0.9218708561352706,39,34,-27,0,-2,-6,0,-2,2.392857142857143,0.8949416342412452,0.8571428571428571
bigcodebench,agentic,BigCodeBench/46,200,,0,,,,,empty,254,0,9,0,8,0,1,0,69,,1,,0,,0,,5,,0,,1,,0,,1,,,,-9,-8,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/464,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,432,1421,15,40,12,32,1,1,70,69,2,2,2,2,0,0,6,7,0,0,4,3,1,2,3,3,0.6325513683104206,0.9363343155808477,25,20,-1,0,0,1,1,0,2.6666666666666665,0.9857142857142858,1.0
bigcodebench,agentic,BigCodeBench/470,200,,0,,,,,empty,304,0,10,0,9,0,1,0,76,,1,,0,,0,,8,,0,,1,,0,,1,,,,-10,-9,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/472,200,,0,,,,,empty,440,0,12,0,11,0,1,0,103,,1,,1,,0,,8,,0,,1,,1,,3,,,,-12,-11,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/474,200,,0,,,,,empty,588,0,14,0,13,0,1,0,168,,1,,1,,0,,10,,0,,1,,1,,3,,,,-14,-13,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/479,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,742,2458,21,53,20,48,1,1,164,213,1,1,1,2,2,2,13,16,1,1,1,2,2,2,4,7,0.6421802352662087,0.9414002388012315,32,28,49,1,0,3,0,3,2.5238095238095237,1.298780487804878,1.75
bigcodebench,agentic,BigCodeBench/48,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,TimeoutError,,,557,1489,18,45,17,40,1,1,112,153,1,1,1,1,2,2,11,16,1,2,1,1,1,1,4,4,0.6762281309308736,0.9332160419213938,27,23,41,0,0,5,0,0,2.5,1.3660714285714286,1.0
bigcodebench,agentic,BigCodeBench/485,200,,0,,,,,empty,1020,0,24,0,23,0,1,0,226,,1,,0,,3,,18,,1,,1,,2,,4,,,,-24,-23,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/487,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,714,879,19,25,18,23,1,1,143,151,1,1,3,2,1,1,8,12,0,0,1,1,2,2,5,4,0.7059659154991097,0.8596939739806143,6,5,8,-1,0,4,0,-1,1.3157894736842106,1.055944055944056,0.8
bigcodebench,agentic,BigCodeBench/49,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,IndentationError,,"IndentationError: unexpected indent (<unknown>, line 8)",473,761,13,29,12,24,1,0,91,,1,,1,,1,,7,,1,,1,,1,,3,,0.8337765721994873,0.7547450315158153,16,12,,,,,,,2.230769230769231,,
bigcodebench,agentic,BigCodeBench/493,200,,0,,,,,empty,1122,0,25,0,24,0,1,0,236,,1,,2,,5,,18,,2,,1,,2,,9,,,,-25,-24,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/495,200,,0,,,,,empty,461,0,12,0,11,0,1,0,95,,1,,0,,1,,5,,0,,1,,1,,2,,,,-12,-11,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/499,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,400,1398,14,43,13,37,1,1,99,106,1,1,0,0,2,2,9,9,0,0,1,1,2,2,3,3,0.4687041297838985,0.9308830364017144,29,24,7,0,0,0,0,0,3.0714285714285716,1.0707070707070707,1.0
bigcodebench,agentic,BigCodeBench/50,200,,0,,,,,empty,683,0,17,0,16,0,1,0,135,,1,,0,,1,,10,,1,,1,,1,,2,,,,-17,-16,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/504,200,,0,,,,,empty,411,0,12,0,11,0,1,0,90,,1,,0,,0,,10,,0,,1,,0,,1,,,,-12,-11,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/509,200,,0,,,,,empty,1245,0,30,0,28,0,1,0,234,,2,,2,,2,,14,,1,,2,,2,,5,,,,-30,-28,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/510,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,408,1192,10,36,9,30,1,1,92,76,1,1,0,0,1,0,8,6,1,0,1,1,1,0,3,1,0.40356533544019974,0.8607852352139311,26,21,-16,0,-1,-2,-1,-2,3.6,0.8260869565217391,0.3333333333333333
bigcodebench,agentic,BigCodeBench/524,200,,0,,,,,empty,964,0,25,0,24,0,1,0,239,,1,,3,,7,,21,,3,,1,,3,,12,,,,-25,-24,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/53,200,,0,,,,,empty,506,0,17,0,16,0,1,0,110,,1,,0,,1,,6,,0,,1,,1,,2,,,,-17,-16,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/539,200,,0,,,,,empty,784,0,22,0,21,0,1,0,160,,1,,2,,1,,14,,0,,1,,1,,4,,,,-22,-21,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/557,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,571,2157,16,58,15,51,1,1,114,214,1,1,2,5,3,3,9,22,2,1,1,2,2,3,6,9,0.6810330556617654,0.9384771815033162,42,36,100,3,0,13,1,3,3.625,1.8771929824561404,1.5
bigcodebench,agentic,BigCodeBench/559,200,,0,,,,,empty,390,0,11,0,10,0,1,0,130,,1,,0,,0,,5,,0,,1,,0,,1,,,,-11,-10,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/56,200,,0,,,,,empty,312,0,10,0,9,0,1,0,73,,1,,0,,1,,3,,1,,1,,1,,2,,,,-10,-9,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/577,200,,0,,,,,empty,596,0,15,0,14,0,1,0,109,,1,,1,,1,,11,,0,,1,,2,,3,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/579,200,,0,,,,,empty,892,0,24,0,23,0,1,0,161,,1,,1,,2,,13,,0,,1,,3,,4,,,,-24,-23,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/587,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,TimeoutError,,,1095,1928,26,49,25,45,1,1,217,224,1,1,0,0,0,0,22,21,0,0,1,1,0,0,1,1,0.7319973708686899,0.9935398835089182,23,20,7,0,0,-1,0,0,1.8846153846153846,1.032258064516129,1.0
bigcodebench,agentic,BigCodeBench/595,200,,0,,,,,empty,333,0,13,0,12,0,1,0,93,,1,,0,,2,,7,,1,,1,,2,,3,,,,-13,-12,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/604,200,,0,,,,,empty,468,0,12,0,11,0,1,0,78,,1,,1,,0,,6,,0,,0,,1,,2,,,,-12,-11,,,,,,,0.0,,
